G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
35, 2020-01-04, 24-319,DEN,@, WAS, L (-14), 1, 30:20,4,10, .400, 1,3,.333,5,7,.714, 2,8,10,4, 1, 0,2,0, 14
36, 2020-01-06, 24-321,DEN,@, ATL, W (+8), 1, 36:50,16,25, .640, 4,8,.500,11,16,.688, 4,4,8,5, 2, 1,0,3, 47
37, 2020-01-08, 24-323,DEN,@, DAL, W (+1), 1, 31:15,12,20, .600, 4,6,.667,5,8,.625, 2,4,6,7, 1, 1,3,1, 33
38, 2020-01-11, 24-326,DEN,, CLE, L (-8), 1, 33:35,8,12, .667, 2,5,.400,1,1,1.000, 3,9,12,5, 0, 0,1,2, 19
39, 2020-01-12, 24-327,DEN,, LAC, W (+10), 1, 31:24,6,14, .429, 3,4,.750,5,6,.833, 2,13,15,6, 1, 0,2,5, 20
40, 2020-01-15, 24-330,DEN,, CHO, W (+14), 1, 29:02,5,9, .556, 0,1,.000,2,2,1.000, 1,7,8,8, 1, 2,4,3, 12
41, 2020-01-16, 24-331,DEN,@, GSW, W (+3), 1, 43:48,10,20, .500, 0,3,.000,3,3,1.000, 2,10,12,8, 0, 2,9,4, 23
42, 2020-01-19, 24-334,DEN,, IND, L (-8), 1, 31:44,10,16, .625, 2,4,.500,8,12,.667, 1,9,10,4, 3, 0,1,4, 30
43, 2020-01-20, 24-335,DEN,@, MIN, W (+7), 1, 34:16,7,15, .467, 0,3,.000,3,4,.750, 5,8,13,5, 1, 0,5,4, 17
44, 2020-01-22, 24-337,DEN,@, HOU, L (-16), 1, 34:08,8,19, .421, 0,1,.000,3,6,.500, 4,8,12,10, 1, 1,6,2, 19
45, 2020-01-24, 24-339,DEN,@, NOP, W (+7), 1, 35:29,9,20, .450, 1,6,.167,8,8,1.000, 7,5,12,7, 4, 1,2,3, 27
46, 2020-01-26, 24-341,DEN,, HOU, W (+7), 1, 38:26,9,18, .500, 0,2,.000,6,7,.857, 2,10,12,11, 2, 0,6,4, 24
47, 2020-01-28, 24-343,DEN,@, MEM, L (-8), 1, 38:43,8,16, .500, 3,6,.500,6,6,1.000, 3,10,13,5, 0, 1,8,3, 25
48, 2020-01-30, 24-345,DEN,, UTA, W (+6), 1, 34:44,11,19, .579, 1,2,.500,5,6,.833, 0,4,4,10, 3, 0,3,4, 28
49, 2020-01-31, 24-346,DEN,@, MIL, W (+12), 1, 33:16,7,17, .412, 1,3,.333,0,0,, 0,10,10,9, 1, 0,3,4, 15
50, 2020-02-02, 24-348,DEN,@, DET, L (-5), 1, 39:45,16,23, .696, 1,3,.333,6,7,.857, 0,10,10,11, 3, 2,2,4, 39
51, 2020-02-04, 24-350,DEN,, POR, W (+28), 1, 30:43,11,17, .647, 3,5,.600,4,4,1.000, 4,9,13,9, 2, 3,4,1, 29
52, 2020-02-05, 24-351,DEN,@, UTA, W (+3), 1, 39:46,14,24, .583, 0,2,.000,2,4,.500, 6,15,21,10, 2, 0,1,2, 30
53, 2020-02-08, 24-354,DEN,@, PHO, W (+9), 1, 33:56,9,19, .474, 0,3,.000,5,5,1.000, 4,5,9,6, 1, 3,6,3, 23
54, 2020-02-10, 24-356,DEN,, SAS, W (+7), 1, 37:39,6,8, .750, 0,1,.000,7,8,.875, 3,5,8,13, 0, 1,5,4, 19
55, 2020-02-12, 24-358,DEN,, LAL, L (-4), 1, 37:19,9,18, .500, 2,3,.667,2,2,1.000, 1,10,11,6, 3, 1,3,5, 22
56, 2020-02-21, 25-002,DEN,@, OKC, L (-12), 1, 33:59,12,15, .800, 1,2,.500,7,7,1.000, 1,6,7,5, 1, 1,2,1, 32
57, 2020-02-23, 25-004,DEN,, MIN, W (+12), 1, 30:57,11,14, .786, 0,1,.000,2,3,.667, 1,6,7,6, 2, 2,3,4, 24
58, 2020-02-25, 25-006,DEN,, DET, W (+17), 1, 27:59,5,8, .625, 1,1,1.000,5,5,1.000, 2,3,5,4, 4, 0,5,4, 16
59, 2020-02-28, 25-009,DEN,@, LAC, L (-29), 1, 25:09,9,13, .692, 0,2,.000,3,4,.750, 2,7,9,2, 1, 0,3,1, 21
60, 2020-03-01, 25-011,DEN,, TOR, W (+15), 1, 35:04,8,11, .727, 0,0,,7,9,.778, 4,14,18,11, 1, 0,2,2, 23
61, 2020-03-03, 25-013,DEN,, GSW, L (-16), 1, 32:19,7,15, .467, 0,1,.000,2,2,1.000, 4,9,13,7, 1, 2,5,2, 16
62, 2020-03-05, 25-015,DEN,@, CHO, W (+2), 1, 30:30,5,10, .500, 0,2,.000,4,4,1.000, 3,8,11,8, 1, 1,6,5, 14
63, 2020-03-07, 25-017,DEN,@, CLE, L (-2), 1, 32:18,4,11, .364, 0,3,.000,0,1,.000, 2,6,8,8, 1, 0,4,3, 8
64, 2020-03-09, 25-019,DEN,, MIL, W (+14), 1, 29:41,4,13, .308, 1,5,.200,1,2,.500, 0,9,9,7, 1, 0,2,3, 10
65, 2020-03-11, 25-021,DEN,@, DAL, L (-16), 1, 33:43,7,10, .700, 0,2,.000,0,0,, 2,11,13,8, 0, 0,5,3, 14
